County Name,Median Home Price,Monthly Payment 2022,Monthly Payment 2021
"Douglas County,  Nevada","507,560","2,630","1,660"
"Davis County,  Utah","506,970","2,630","1,630"
"St. Johns County,  Florida","505,720","2,620","1,500"
"Kootenai County,  Idaho","505,370","2,620","1,660"
"Prince William County,  Virginia","502,920","2,600","1,710"
"Union County,  New Jersey","502,390","2,600","1,690"
"Washington County,  Rhode Island","501,590","2,600","1,640"
"Hunterdon County,  New Jersey","500,620","2,590","1,690"
"Clark County,  Washington","499,700","2,590","1,690"
"Chaffee County,  Colorado","498,820","2,580","1,550"
"Rappahannock County,  Virginia","498,550","2,580","1,600"
"Chelan County,  Washington","494,550","2,560","1,620"
"Charleston County,  South Carolina","490,090","2,540","1,490"
"Collin County,  Texas","485,690","2,510","1,470"
"Chatham County,  North Carolina","485,420","2,510","1,440"
"Weld County,  Colorado","483,710","2,500","1,550"
"Adams County,  Colorado","482,080","2,500","1,580"
"Rockingham County,  New Hampshire","481,460","2,490","1,590"
"Walton County,  Florida","481,460","2,490","1,460"
"Stafford County,  Virginia","481,040","2,490","1,630"
"Fulton County,  Georgia","477,030","2,470","1,450"
"Thurston County,  Washington","474,500","2,460","1,540"
"Missoula County,  Montana","474,490","2,460","1,510"
"Wake County,  North Carolina","472,420","2,450","1,410"
"Kendall County,  Texas","470,130","2,430","1,470"
"Maricopa County,  Arizona","468,700","2,430","1,430"
"Miami-Dade County,  Florida","467,940","2,420","1,400"
"Gilpin County,  Colorado","467,200","2,420","1,540"
"Goochland County,  Virginia","466,170","2,410","1,500"
"Mendocino County,  California","465,740","2,410","1,570"
"Putnam County,  New York","465,170","2,410","1,570"
"Teton County,  Idaho","465,120","2,410","1,440"
"Coconino County,  Arizona","464,320","2,400","1,470"
"Jefferson County,  Washington","461,100","2,390","1,450"
"Garfield County,  Colorado","459,860","2,380","1,430"
"Anne Arundel County,  Maryland","459,290","2,380","1,560"
"Yamhill County,  Oregon","458,760","2,380","1,550"
"Chester County,  Pennsylvania","458,630","2,370","1,570"
"Orange County,  North Carolina","457,670","2,370","1,360"
"Cumberland County,  Maine","455,200","2,360","1,450"
"El Paso County,  Colorado","455,150","2,360","1,480"
"Williamson County,  Texas","453,530","2,350","1,440"
"Palm Beach County,  Florida","453,330","2,350","1,350"
"Calvert County,  Maryland","452,670","2,340","1,540"
"Cape May County,  New Jersey","451,090","2,340","1,360"
"Albemarle County,  Virginia","450,370","2,330","1,450"
"Chittenden County,  Vermont","450,260","2,330","1,410"
"Park County,  Colorado","449,380","2,330","1,480"
"Grand County,  Colorado","449,310","2,330","1,400"
"Beaufort County,  South Carolina","448,840","2,320","1,390"
"Bristol County,  Massachusetts","447,700","2,320","1,460"
"Passaic County,  New Jersey","446,010","2,310","1,500"
"Fayette County,  Georgia","445,330","2,310","1,350"
"Denton County,  Texas","444,620","2,300","1,350"
"Wilson County,  Tennessee","443,260","2,300","1,320"
"Delaware County,  Ohio","443,090","2,290","1,420"
"Comal County,  Texas","441,800","2,290","1,380"
"Cache County,  Utah","441,010","2,280","1,370"
"Clarke County,  Virginia","440,360","2,280","1,490"
"Cherokee County,  Georgia","440,170","2,280","1,340"
"Clark County,  Nevada","439,890","2,280","1,370"
"Davidson County,  Tennessee","439,740","2,280","1,310"
"Frederick County,  Maryland","439,480","2,280","1,490"
"Middlesex County,  New Jersey","439,370","2,280","1,480"
"Sarasota County,  Florida","438,640","2,270","1,250"
"James City County,  Virginia","438,250","2,270","1,450"
"Stanislaus County,  California","435,880","2,260","1,480"
"Rockwall County,  Texas","434,910","2,250","1,320"
"Bristol County,  Rhode Island","433,630","2,250","1,410"
"Mono County,  California","432,990","2,240","1,460"
"Tooele County,  Utah","432,910","2,240","1,400"
"Broward County,  Florida","432,230","2,240","1,290"
"Clallam County,  Washington","432,000","2,240","1,360"
"Carver County,  Minnesota","431,310","2,230","1,470"
"Josephine County,  Oregon","431,210","2,230","1,390"
"Yavapai County,  Arizona","430,620","2,230","1,350"
"Carroll County,  Maryland","429,530","2,220","1,460"
"Martin County,  Florida","429,190","2,220","1,260"
"Valley County,  Idaho","429,050","2,220","1,330"
"Polk County,  Oregon","428,450","2,220","1,410"
"Archuleta County,  Colorado","427,250","2,210","1,330"
"Mason County,  Washington","426,790","2,210","1,350"
"Santa Fe County,  New Mexico","425,300","2,200","1,350"
"Mineral County,  Colorado","424,850","2,200","1,320"
"Weber County,  Utah","421,990","2,190","1,350"
"Sitka City and Borough,  Alaska","421,450","2,180","1,370"
"Union County,  North Carolina","420,550","2,180","1,260"
"Fredericksburg city,  Virginia","420,460","2,180","1,430"
"Cobb County,  Georgia","420,400","2,180","1,280"
"Alpine County,  California","419,790","2,170","1,410"
"Bucks County,  Pennsylvania","419,450","2,170","1,430"
"Kittitas County,  Washington","417,560","2,160","1,320"
"Washington County,  Minnesota","416,950","2,160","1,420"
"Prince George's County,  Maryland","416,500","2,160","1,410"
"Mecklenburg County,  North Carolina","416,200","2,160","1,250"
"Hillsborough County,  New Hampshire","415,860","2,150","1,350"
"Humboldt County,  California","415,680","2,150","1,400"
"Madera County,  California","414,860","2,150","1,300"
"Worcester County,  Massachusetts","414,780","2,150","1,360"
"Sumner County,  Tennessee","413,290","2,140","1,230"
"Buncombe County,  North Carolina","413,050","2,140","1,270"
"Spokane County,  Washington","412,600","2,140","1,330"
"Charlottesville city,  Virginia","412,040","2,130","1,330"
"Lane County,  Oregon","411,940","2,130","1,360"
"St. Mary's County,  Maryland","411,860","2,130","1,330"
"York County,  Virginia","411,510","2,130","1,360"
"Yuba County,  California","411,470","2,130","1,380"
"Manatee County,  Florida","410,980","2,130","1,170"
"Queen Anne's County,  Maryland","410,860","2,130","1,400"
"Juneau City and Borough,  Alaska","410,450","2,130","1,340"
"Cowlitz County,  Washington","410,300","2,120","1,340"
"Dutchess County,  New York","409,300","2,120","1,310"
"Parker County,  Texas","409,210","2,120","1,240"
"Seminole County,  Florida","408,850","2,120","1,220"
"Charles County,  Maryland","407,920","2,110","1,380"
"Montgomery County,  Pennsylvania","407,340","2,110","1,390"
"Hinsdale County,  Colorado","405,910","2,100","1,260"
"Benton County,  Washington","404,850","2,100","1,290"
"Poquoson city,  Virginia","404,850","2,100","1,340"
"Hays County,  Texas","404,820","2,100","1,280"
"Skamania County,  Washington","404,150","2,090","1,370"
"Oconee County,  Georgia","403,930","2,090","1,230"
"Sutter County,  California","403,160","2,090","1,360"
"Marion County,  Oregon","402,390","2,080","1,330"
"Jackson County,  Oregon","400,990","2,080","1,380"
"Grand County,  Utah","400,650","2,070","1,260"
"Scott County,  Minnesota","399,730","2,070","1,360"
"Orange County,  Florida","399,630","2,070","1,200"
"Hanover County,  Virginia","399,080","2,070","1,290"
"New Hanover County,  North Carolina","399,030","2,070","1,190"
"Sumter County,  Florida","398,790","2,060","1,210"
"Durham County,  North Carolina","397,550","2,060","1,180"
"Hamilton County,  Indiana","397,420","2,060","1,260"
"Butte County,  California","397,160","2,060","1,380"
"Dare County,  North Carolina","396,470","2,050","1,200"
"Park County,  Montana","396,400","2,050","1,230"
"Nassau County,  Florida","396,210","2,050","1,180"
"San Juan County,  Colorado","395,600","2,050","1,230"
"Clatsop County,  Oregon","395,350","2,050","1,270"
"DuPage County,  Illinois","394,980","2,050","1,310"
"Waukesha County,  Wisconsin","393,830","2,040","1,280"
"Calaveras County,  California","393,590","2,040","1,320"
"Dane County,  Wisconsin","393,460","2,040","1,270"
"Merced County,  California","393,450","2,040","1,290"
"Canyon County,  Idaho","393,270","2,040","1,330"
"Manassas city,  Virginia","391,980","2,030","1,330"
"Frederick County,  Virginia","391,430","2,030","1,250"
"York County,  Maine","391,240","2,030","1,250"
"Lewis County,  Washington","391,060","2,020","1,230"
"Talbot County,  Maryland","389,670","2,020","1,260"
"Boone County,  Indiana","389,390","2,020","1,230"
"Johnson County,  Kansas","388,680","2,010","1,260"
"Ozaukee County,  Wisconsin","388,680","2,010","1,270"
"Gillespie County,  Texas","388,630","2,010","1,210"
"Bonneville County,  Idaho","388,070","2,010","1,250"
"Amador County,  California","387,930","2,010","1,300"
"Fresno County,  California","386,370","2,000","1,240"
"Oldham County,  Kentucky","385,990","2,000","1,280"
"Los Alamos County,  New Mexico","385,950","2,000","1,280"
"Madison County,  Montana","385,930","2,000","1,200"
"Spotsylvania County,  Virginia","384,390","1,990","1,300"
"Rutherford County,  Tennessee","384,320","1,990","1,140"
"Washtenaw County,  Michigan","384,260","1,990","1,240"
